Timestamp,main,Refrigerator,Dish Washer,Microwave,Washer Dryer
2011-04-16 01:11:00-04:00,758.96063,118.666664,0.33333334,2.0,
2011-04-16 01:12:00-04:00,765.25085,118.2,0.53333336,2.0,
2011-04-16 01:13:00-04:00,770.26984,117.625,0.25,2.0,
2011-04-16 01:14:00-04:00,764.5775,117.25,0.25,2.0,
2011-04-16 01:15:00-04:00,761.72736,116.75,0.25,2.0,
2011-04-16 01:16:00-04:00,699.8642,46.933334,0.2,2.0,
2011-04-16 01:17:00-04:00,658.5312,0.3125,0.0,2.0,
2011-04-16 01:18:00-04:00,653.5467,0.125,0.0,2.0,
2011-04-16 01:19:00-04:00,653.45764,0.4,0.0,2.0,
2011-04-16 01:20:00-04:00,,,,,
2011-04-16 01:21:00-04:00,,,,,
2011-04-16 01:22:00-04:00,,,,,
2011-04-16 01:23:00-04:00,,,,,
2011-04-16 01:24:00-04:00,,,,,
2011-04-16 01:25:00-04:00,,,,,
2011-04-16 01:26:00-04:00,,,,,
2011-04-16 01:27:00-04:00,,,,,
2011-04-16 01:28:00-04:00,,,,,
2011-04-16 01:29:00-04:00,,,,,
2011-04-16 01:30:00-04:00,,,,,
2011-04-16 01:31:00-04:00,,,,,
2011-04-16 01:32:00-04:00,,,,,
2011-04-16 01:33:00-04:00,,,,,
2011-04-16 01:34:00-04:00,,,,,
2011-04-16 01:35:00-04:00,,,,,
2011-04-16 01:36:00-04:00,,,,,
2011-04-16 01:37:00-04:00,,,,,
2011-04-16 01:38:00-04:00,,,,,
2011-04-16 01:39:00-04:00,977.1003,1.0,1.3333334,2.8888888,
2011-04-16 01:40:00-04:00,1541.6594,1.8571428,1.7142857,3.0,
2011-04-16 01:41:00-04:00,,,,,
2011-04-16 01:42:00-04:00,,,,,
2011-04-16 01:43:00-04:00,1586.0796,118.181816,2.1818182,2.7272727,
2011-04-16 01:44:00-04:00,1577.2362,118.125,2.1875,2.8125,
2011-04-16 01:45:00-04:00,1557.132,117.3125,2.25,2.6875,
2011-04-16 01:46:00-04:00,1436.0123,117.0,2.0,2.5625,
2011-04-16 01:47:00-04:00,1440.463,116.6875,2.0,2.75,
2011-04-16 01:48:00-04:00,799.46783,117.375,0.25,2.0,
2011-04-16 01:49:00-04:00,790.647,117.0625,0.0625,2.0,
2011-04-16 01:50:00-04:00,640.4063,116.5625,0.4375,2.0,
2011-04-16 01:51:00-04:00,598.113,21.9375,0.0625,2.0,
2011-04-16 01:52:00-04:00,473.59915,0.3125,0.4375,2.0,
2011-04-16 01:53:00-04:00,391.67017,16.933332,1.0,2.0,
2011-04-16 01:54:00-04:00,385.75034,5.4375,1.0,2.0,
2011-04-16 01:55:00-04:00,311.621,0.3125,1.0,2.0,
2011-04-16 01:56:00-04:00,244.39067,0.3125,1.0,2.0,
2011-04-16 01:57:00-04:00,246.244,0.5625,1.0,2.0,
2011-04-16 01:58:00-04:00,258.48834,0.5625,1.0,2.0,
