Timestamp,main,Refrigerator,Washer Dryer,Dish Washer,,,,,
,,,,,,,,,
2011-04-18 01:31:00-04:00,22.599583,6.25,4.25,0.5,,,,,
2011-04-18 01:32:00-04:00,22.601,6.3076925,4.4615383,0.23076923,,,,,
2011-04-18 01:33:00-04:00,22.607334,6.3125,4.5625,0.1875,,,,,
2011-04-18 01:34:00-04:00,22.595667,6.5,4.3125,0.0625,,,,,
2011-04-18 01:35:00-04:00,22.586834,6.5,4.75,0,,,,,
2011-04-18 01:36:00-04:00,22.596333,6.5,4.5,0.0625,,,,,
2011-04-18 01:37:00-04:00,22.622,6.5,4.375,0.0625,,,,,
2011-04-18 01:38:00-04:00,22.6555,6.4375,4.3125,0.0625,,,,,
2011-04-18 01:39:00-04:00,22.668167,6.3125,4.5625,0.0625,,,,,
2011-04-18 01:40:00-04:00,22.658333,6.5,4.1875,0,,,,,
2011-04-18 01:41:00-04:00,22.635166,6.25,4.75,0.0625,,,,,
2011-04-18 01:42:00-04:00,22.6145,6.4375,4.5,0.125,,,,,
2011-04-18 01:43:00-04:00,22.6535,6.4666667,4.866667,0.06666667,,,,,
2011-04-18 01:44:00-04:00,22.646334,6.3125,4.6875,0.0625,,,,,
2011-04-18 01:45:00-04:00,22.6525,6.25,4.6875,0.125,,,,,
2011-04-18 01:46:00-04:00,145.39116,84.625,4.375,0.125,,,,,
2011-04-18 01:47:00-04:00,272.27518,178.8125,4.5,0.125,,,,,
2011-04-18 01:48:00-04:00,265.07935,170.1875,4.4375,0,,,,,
2011-04-18 01:49:00-04:00,263.44016,167.9375,4.3125,0,,,,,
2011-04-18 01:50:00-04:00,262.73233,166.3125,4.3125,0.0625,,,,,
2011-04-18 01:51:00-04:00,261.76266,165.625,4.375,0.125,,,,,
2011-04-18 01:52:00-04:00,261.04382,164.13333,4.3333335,0,,,,,
2011-04-18 01:53:00-04:00,260.42816,163.8125,4.5,0.125,,,,,
2011-04-18 01:54:00-04:00,259.73685,162.3125,4.1875,0.125,,,,,
2011-04-18 01:55:00-04:00,259.07434,162,4.529412,0,,,,,
2011-04-18 01:56:00-04:00,258.578,161.4,4.3333335,0.06666667,,,,,
2011-04-18 01:57:00-04:00,258.24484,160.875,4.3125,0.125,,,,,
2011-04-18 01:58:00-04:00,257.81332,160.125,4.0625,0.0625,,,,,
2011-04-18 01:59:00-04:00,257.4075,159.375,4.4375,0.0625,,,,,
2011-04-18 02:00:00-04:00,257.19232,159.3125,4.5625,0,,,,,
2011-04-18 02:01:00-04:00,256.81717,158.75,4.625,0,,,,,
2011-04-18 02:02:00-04:00,256.4315,159.1875,4.3125,0.0625,,,,,
2011-04-18 02:03:00-04:00,256.32584,158.75,4.1875,0,,,,,
2011-04-18 02:04:00-04:00,256.13968,158.5625,4.3125,0.0625,,,,,
2011-04-18 02:05:00-04:00,256.11517,157.625,4.3125,0.125,,,,,
2011-04-18 02:06:00-04:00,164.64534,82.4375,4.125,0.0625,,,,,
2011-04-18 02:07:00-04:00,22.729,6.2,4.266667,0.06666667,,,,,
2011-04-18 02:08:00-04:00,22.762203,6.1875,4.3125,0.125,,,,,
2011-04-18 02:09:00-04:00,22.780666,6.625,4.1875,0.125,,,,,
2011-04-18 02:10:00-04:00,22.776167,6.75,4.375,0.0625,,,,,
2011-04-18 02:11:00-04:00,22.759,6.4375,4.5625,0,,,,,
2011-04-18 02:12:00-04:00,22.759666,6.4375,4.4375,0.1875,,,,,
2011-04-18 02:13:00-04:00,22.7595,6.625,4.6875,0.125,,,,,
2011-04-18 02:14:00-04:00,22.773834,6.375,4.1875,0.125,,,,,
2011-04-18 02:15:00-04:00,22.770334,6.625,4.125,0.0625,,,,,
2011-04-18 02:16:00-04:00,22.760166,6.375,4.3125,0,,,,,
2011-04-18 02:17:00-04:00,22.775833,6.375,4.375,0.0625,,,,,
2011-04-18 02:18:00-04:00,22.792833,6.625,4.625,0.0625,,,,,
2011-04-18 02:19:00-04:00,22.788166,6.733333,4.6,0,,,,,
2011-04-18 02:20:00-04:00,22.7925,6.5625,4.3125,0,,,,,
2011-04-18 02:21:00-04:00,22.788834,6.4375,4.5625,0.0625,,,,,
2011-04-18 02:22:00-04:00,22.767834,6.5,4.25,0.0625,,,,,
2011-04-18 02:23:00-04:00,22.7665,6.375,4.125,0.1875,,,,,
2011-04-18 02:24:00-04:00,22.7665,6.5625,4.1875,0.1875,,,,,
2011-04-18 02:25:00-04:00,22.783333,6.4375,4.1875,0.1875,,,,,
2011-04-18 02:26:00-04:00,22.789667,6.6,4.133333,0.06666667,,,,,
2011-04-18 02:27:00-04:00,22.777666,6.375,4.125,0.0625,,,,,
2011-04-18 02:28:00-04:00,22.759832,6.3125,4.1875,0,,,,,
2011-04-18 02:29:00-04:00,22.7635,6.5625,4.0625,0.0625,,,,,
2011-04-18 02:30:00-04:00,22.769333,6.625,4.25,0.0625,,,,,
2011-04-18 02:31:00-04:00,22.766,6.8125,4.25,0,,,,,
2011-04-18 02:32:00-04:00,22.7625,6.375,4.3125,0.0625,,,,,
2011-04-18 02:33:00-04:00,22.765,6.3125,4.25,0.1875,,,,,
2011-04-18 02:34:00-04:00,22.772333,6.375,4.4375,0.0625,,,,,
2011-04-18 02:35:00-04:00,22.774166,6.5625,4.3125,0.125,,,,,
2011-04-18 02:36:00-04:00,22.773834,6.8,4.133333,0.13333334,,,,,
2011-04-18 02:37:00-04:00,22.7855,6.5625,4.125,0.125,,,,,
2011-04-18 02:38:00-04:00,162.618,96.0625,4.375,0.0625,,,,,
2011-04-18 02:39:00-04:00,272.36517,178.125,4,0.125,,,,,
2011-04-18 02:40:00-04:00,265.95483,170.125,4.4375,0.0625,,,,,
2011-04-18 02:41:00-04:00,264.36484,168.1875,4.125,0.125,,,,,
2011-04-18 02:42:00-04:00,264.16232,167.3125,4.5,0.0625,,,,,
2011-04-18 02:43:00-04:00,263.3115,166.625,4.4375,0,,,,,
2011-04-18 02:44:00-04:00,262.34332,165.375,4.375,0,,,,,
2011-04-18 02:45:00-04:00,260.95126,164.07692,4.076923,0.15384616,,,,,
2011-04-18 02:46:00-04:00,260.31683,162.875,4.1875,0.0625,,,,,
2011-04-18 02:47:00-04:00,259.86984,162.26666,4.133333,0,,,,,
2011-04-18 02:48:00-04:00,259.54367,161.8125,4.3125,0.125,,,,,
