Timestamp,main,Refrigerator,Dish Washer,Microwave,Washer Dryer
,,,,,
2011-04-18 09:22:00-04:00,342.50726,6,0.14285715,5,0
2011-04-18 09:23:00-04:00,345.53015,6,0.2857143,5,0
2011-04-18 09:24:00-04:00,345.1455,6,0.4375,5,0
2011-04-18 09:25:00-04:00,342.37317,5.9375,0.1875,4.75,0.125
2011-04-18 09:26:00-04:00,342.246,5.9375,0.5,4.9375,0.15625
2011-04-18 09:27:00-04:00,345.07285,6,0.3125,5,0
2011-04-18 09:28:00-04:00,338.01068,6,0.13333334,4.733333,0
2011-04-18 09:29:00-04:00,338.21466,6,0.25,5,0
2011-04-18 09:30:00-04:00,338.182,6,0.25,4.9375,0
2011-04-18 09:31:00-04:00,340.44882,6,0.3125,5,0
2011-04-18 09:32:00-04:00,340.75934,6,0.375,5,0
2011-04-18 09:33:00-04:00,340.50717,6,0.1875,4.9375,0
2011-04-18 09:34:00-04:00,340.3715,6,0.33333334,4.9333334,0
2011-04-18 09:35:00-04:00,339.3365,6,0,4.8125,0
2011-04-18 09:36:00-04:00,337.31567,6,0.125,4.875,0
2011-04-18 09:37:00-04:00,336.24316,6,0.125,4.9375,0
2011-04-18 09:38:00-04:00,337.23816,6,0.125,4.8125,0
2011-04-18 09:39:00-04:00,799.1325,5.9333334,0.4,4.4,0
2011-04-18 09:40:00-04:00,1921.719,5.8,0.73333335,4,0
2011-04-18 09:41:00-04:00,1917.2499,5.9333334,0.6666667,4,0
2011-04-18 09:42:00-04:00,1915.7283,5.9333334,0.6666667,4,0
2011-04-18 09:43:00-04:00,553.1357,6,0.25,4.75,0
2011-04-18 09:44:00-04:00,329.64017,6,0.0625,4.875,0
2011-04-18 09:45:00-04:00,287.05084,6,0,4.3125,0
2011-04-18 09:46:00-04:00,250.62633,6,0,4,0
2011-04-18 09:47:00-04:00,251.18634,6,0.0625,4,0
2011-04-18 09:48:00-04:00,248.7055,6,0,4,0
2011-04-18 09:49:00-04:00,245.49417,6,0.125,4,0
2011-04-18 09:50:00-04:00,246.67984,6,0.06666667,4,0
2011-04-18 09:51:00-04:00,245.80867,6.0625,0,4,0
2011-04-18 09:52:00-04:00,244.69484,6,0.0625,4,0
2011-04-18 09:53:00-04:00,245.05716,6,0.0625,4,0
2011-04-18 09:54:00-04:00,246.94267,6,0,4,0
2011-04-18 09:55:00-04:00,246.33533,6,0,4,0
2011-04-18 09:56:00-04:00,243.76984,6,0,4,0
2011-04-18 09:57:00-04:00,243.00616,6,0,4,0
2011-04-18 09:58:00-04:00,244.82033,6,0.0625,4,0
2011-04-18 09:59:00-04:00,243.86816,6,0,4,0
2011-04-18 10:00:00-04:00,243.81467,6,0,4,0
2011-04-18 10:01:00-04:00,242.70767,6,0,4,0
2011-04-18 10:02:00-04:00,244.6825,6,0,4,0
2011-04-18 10:03:00-04:00,244.01384,6,0,4,0
2011-04-18 10:04:00-04:00,242.86734,6,0,4,0
2011-04-18 10:05:00-04:00,241.57533,6,0,4,0
2011-04-18 10:06:00-04:00,243.70433,6,0,4,0
2011-04-18 10:07:00-04:00,242.65184,6,0,4,0
2011-04-18 10:08:00-04:00,240.8985,6,0,4,0
2011-04-18 10:09:00-04:00,240.86684,6,0.1875,4,0
2011-04-18 10:10:00-04:00,243.0475,6,0,4,0
2011-04-18 10:11:00-04:00,242.426,6,0,4,0
2011-04-18 10:12:00-04:00,241.44034,6,0,4,0
2011-04-18 10:13:00-04:00,241.50934,6.0625,0.0625,4,0
2011-04-18 10:14:00-04:00,246.4575,6,0.125,4,0
2011-04-18 10:15:00-04:00,245.78484,6,0,4,0
2011-04-18 10:16:00-04:00,244.44533,6,0.0625,4,0
2011-04-18 10:17:00-04:00,331.57718,97.75,0.125,4,0.1875
2011-04-18 10:18:00-04:00,447.75467,211.75,0,4,0
2011-04-18 10:19:00-04:00,436.79285,201,0,4,0
2011-04-18 10:20:00-04:00,432.6615,198.33333,0,4,0
2011-04-18 10:21:00-04:00,431.134,196.5,0,4,0
2011-04-18 10:22:00-04:00,431.0175,195.625,0,4,0
2011-04-18 10:23:00-04:00,428.96866,193.75,0,4,0
2011-04-18 10:24:00-04:00,427.22968,192.4375,0,4,0
2011-04-18 10:25:00-04:00,428.23483,190.9375,0,4,0
2011-04-18 10:26:00-04:00,396.73868,208.25,0,4,0
2011-04-18 10:27:00-04:00,1672.0164,199.625,0.25,1382,0.625
2011-04-18 10:28:00-04:00,581.65216,242.93333,0.4,110.4,0
2011-04-18 10:29:00-04:00,596.3615,427.125,1.8125,4,0.0625
2011-04-18 10:30:00-04:00,593.7285,424.5625,1.8125,4,0.1875
2011-04-18 10:31:00-04:00,589.48267,423.0625,1.75,4,0.125
2011-04-18 10:32:00-04:00,592.09265,427.46667,1.8,4,0.06666667
2011-04-18 10:33:00-04:00,591.73114,429,1.8125,4,0.0625
2011-04-18 10:34:00-04:00,588.38983,422.25,1.6875,4,0.125
2011-04-18 10:35:00-04:00,589.0073,423.0625,1.875,4,0.0625
2011-04-18 10:36:00-04:00,588.4248,423,1.9375,4,0
2011-04-18 10:37:00-04:00,588.262,422.6875,1.9375,4,0.125
2011-04-18 10:38:00-04:00,588.9993,422.1875,1.875,4,0.1875
2011-04-18 10:39:00-04:00,589.35834,422.4375,1.875,4,0
2011-04-18 10:40:00-04:00,589.19135,423,1.6666666,4,0.06666667
2011-04-18 10:41:00-04:00,588.92566,422.9375,1.8125,4,0.125
2011-04-18 10:42:00-04:00,563.728,397,1.6875,4,0.25
2011-04-18 10:43:00-04:00,195.0605,7,0.0625,4,0
2011-04-18 10:44:00-04:00,194.32634,6.875,0,4,0
2011-04-18 10:45:00-04:00,195.01416,7,0,4,0
2011-04-18 10:46:00-04:00,196.22166,6.9375,0,4,0
2011-04-18 10:47:00-04:00,195.22299,7,0,4,0
2011-04-18 10:48:00-04:00,193.862,6.875,0,4,0
