Timestamp,main,Refrigerator,Dish Washer,Microwave
,,,,
2011-04-17 19:18:00-04:00,316.39334,,,
2011-04-17 19:19:00-04:00,423.82703,,,
2011-04-17 19:20:00-04:00,693.1578,,,
2011-04-17 19:21:00-04:00,1795.2454,,,
2011-04-17 19:22:00-04:00,2516.6218,,,
2011-04-17 19:23:00-04:00,,,,
2011-04-17 19:24:00-04:00,,,,
2011-04-17 19:25:00-04:00,670.39667,,,
2011-04-17 19:26:00-04:00,672.46875,,,
2011-04-17 19:27:00-04:00,,,,
2011-04-17 19:28:00-04:00,,,,
2011-04-17 19:29:00-04:00,,,,
2011-04-17 19:30:00-04:00,,,,
2011-04-17 19:31:00-04:00,,,,
2011-04-17 19:32:00-04:00,,,,
2011-04-17 19:33:00-04:00,,,,
2011-04-17 19:34:00-04:00,,,,
2011-04-17 19:35:00-04:00,,,,
2011-04-17 19:36:00-04:00,,,,
2011-04-17 19:37:00-04:00,,,,
2011-04-17 19:38:00-04:00,,,,
2011-04-17 19:39:00-04:00,,,,
2011-04-17 19:40:00-04:00,,,,
2011-04-17 19:41:00-04:00,,,,
2011-04-17 19:42:00-04:00,,,,
2011-04-17 19:43:00-04:00,,,,
2011-04-17 19:44:00-04:00,,,,
2011-04-17 19:45:00-04:00,,,,
2011-04-17 19:46:00-04:00,,,,
2011-04-17 19:47:00-04:00,,,,
2011-04-17 19:48:00-04:00,,,,
2011-04-17 19:49:00-04:00,,,,
2011-04-17 19:50:00-04:00,,,,
2011-04-17 19:51:00-04:00,,,,
2011-04-17 19:52:00-04:00,,,,
2011-04-17 19:53:00-04:00,,,,
2011-04-17 19:54:00-04:00,,,,
2011-04-17 19:55:00-04:00,,,,
2011-04-17 19:56:00-04:00,,,,
2011-04-17 19:57:00-04:00,,,,
2011-04-17 19:58:00-04:00,,,,
2011-04-17 19:59:00-04:00,,,,
2011-04-17 20:00:00-04:00,,,,
2011-04-17 20:01:00-04:00,,,,
2011-04-17 20:02:00-04:00,,,,
2011-04-17 20:03:00-04:00,,,,
2011-04-17 20:04:00-04:00,,,,
2011-04-17 20:05:00-04:00,,,,
2011-04-17 20:06:00-04:00,,,,
2011-04-17 20:07:00-04:00,,,,
2011-04-17 20:08:00-04:00,,,,
2011-04-17 20:09:00-04:00,,,,
2011-04-17 20:10:00-04:00,,,,
2011-04-17 20:11:00-04:00,,,,
2011-04-17 20:12:00-04:00,,,,
2011-04-17 20:13:00-04:00,,,,
2011-04-17 20:14:00-04:00,,,,
2011-04-17 20:15:00-04:00,,,,
2011-04-17 20:16:00-04:00,,,,
2011-04-17 20:17:00-04:00,,,,
2011-04-17 20:18:00-04:00,,,,
2011-04-17 20:19:00-04:00,,,,
2011-04-17 20:20:00-04:00,,,,
2011-04-17 20:21:00-04:00,,,,
2011-04-17 20:22:00-04:00,,,,
2011-04-17 20:23:00-04:00,,,,
2011-04-17 20:24:00-04:00,,,,
2011-04-17 20:25:00-04:00,,,,
2011-04-17 20:26:00-04:00,,,,
2011-04-17 20:27:00-04:00,,,,
2011-04-17 20:28:00-04:00,,,,
2011-04-17 20:29:00-04:00,,,,
2011-04-17 20:30:00-04:00,,,,
2011-04-17 20:31:00-04:00,,,,
2011-04-17 20:32:00-04:00,,,,
2011-04-17 20:33:00-04:00,,,,
2011-04-17 20:34:00-04:00,,,,
2011-04-17 20:35:00-04:00,,,,
2011-04-17 20:36:00-04:00,,,,
2011-04-17 20:37:00-04:00,,,,
2011-04-17 20:38:00-04:00,,,,
2011-04-17 20:39:00-04:00,,,,
2011-04-17 20:40:00-04:00,,,,
2011-04-17 20:41:00-04:00,,,,
2011-04-17 20:42:00-04:00,,,,
2011-04-17 20:43:00-04:00,,,,
2011-04-17 20:44:00-04:00,,,,
2011-04-17 20:45:00-04:00,,,,
2011-04-17 20:46:00-04:00,,,,
2011-04-17 20:47:00-04:00,,,,
2011-04-17 20:48:00-04:00,,,,
2011-04-17 20:49:00-04:00,,,,
2011-04-17 20:50:00-04:00,,,,
2011-04-17 20:51:00-04:00,,,,
2011-04-17 20:52:00-04:00,,,,
2011-04-17 20:53:00-04:00,,,,
2011-04-17 20:54:00-04:00,,,,
2011-04-17 20:55:00-04:00,,,,
2011-04-17 20:56:00-04:00,,,,
2011-04-17 20:57:00-04:00,,,,
2011-04-17 20:58:00-04:00,,,,
2011-04-17 20:59:00-04:00,,,,
2011-04-17 21:00:00-04:00,,,,
2011-04-17 21:01:00-04:00,,,,
2011-04-17 21:02:00-04:00,,,,
2011-04-17 21:03:00-04:00,,,,
2011-04-17 21:04:00-04:00,,,,
2011-04-17 21:05:00-04:00,,,,
2011-04-17 21:06:00-04:00,,,,
2011-04-17 21:07:00-04:00,,,,
2011-04-17 21:08:00-04:00,,,,
2011-04-17 21:09:00-04:00,,,,
2011-04-17 21:10:00-04:00,,,,
2011-04-17 21:11:00-04:00,,,,
2011-04-17 21:12:00-04:00,,,,
2011-04-17 21:13:00-04:00,,,,
2011-04-17 21:14:00-04:00,,,,
2011-04-17 21:15:00-04:00,,,,
2011-04-17 21:16:00-04:00,,,,
2011-04-17 21:17:00-04:00,,,,
2011-04-17 21:18:00-04:00,,,,
2011-04-17 21:19:00-04:00,,,,
2011-04-17 21:20:00-04:00,,,,
2011-04-17 21:21:00-04:00,,,,
2011-04-17 21:22:00-04:00,,,,
2011-04-17 21:23:00-04:00,,,,
2011-04-17 21:24:00-04:00,,,,
2011-04-17 21:25:00-04:00,,,,
2011-04-17 21:26:00-04:00,,,,
2011-04-17 21:27:00-04:00,,,,
2011-04-17 21:28:00-04:00,,,,
2011-04-17 21:29:00-04:00,,,,
2011-04-17 21:30:00-04:00,,,,
2011-04-17 21:31:00-04:00,,,,
2011-04-17 21:32:00-04:00,,,,
2011-04-17 21:33:00-04:00,,,,
2011-04-17 21:34:00-04:00,,,,
2011-04-17 21:35:00-04:00,,,,
2011-04-17 21:36:00-04:00,,,,
2011-04-17 21:37:00-04:00,,,,
2011-04-17 21:38:00-04:00,,,,
2011-04-17 21:39:00-04:00,,,,
2011-04-17 21:40:00-04:00,,,,
2011-04-17 21:41:00-04:00,,,,
2011-04-17 21:42:00-04:00,,,,
2011-04-17 21:43:00-04:00,,,,
2011-04-17 21:44:00-04:00,,,,
2011-04-17 21:45:00-04:00,327.9228,,,
2011-04-17 21:46:00-04:00,,,,
2011-04-17 21:47:00-04:00,,,,
2011-04-17 21:48:00-04:00,,,,
2011-04-17 21:49:00-04:00,,,,
2011-04-17 21:50:00-04:00,,,,
2011-04-17 21:51:00-04:00,,,,
2011-04-17 21:52:00-04:00,,,,
2011-04-17 21:53:00-04:00,,,,
2011-04-17 21:54:00-04:00,,,,
2011-04-17 21:55:00-04:00,,,,
2011-04-17 21:56:00-04:00,,,,
2011-04-17 21:57:00-04:00,,,,
2011-04-17 21:58:00-04:00,,,,
2011-04-17 21:59:00-04:00,,,,
2011-04-17 22:00:00-04:00,,,,
2011-04-17 22:01:00-04:00,,,,
2011-04-17 22:02:00-04:00,,,,
2011-04-17 22:03:00-04:00,,,,
2011-04-17 22:04:00-04:00,,,,
2011-04-17 22:05:00-04:00,,,,
2011-04-17 22:06:00-04:00,,,,
2011-04-17 22:07:00-04:00,,,,
2011-04-17 22:08:00-04:00,,,,
2011-04-17 22:09:00-04:00,,,,
2011-04-17 22:10:00-04:00,,,,
2011-04-17 22:11:00-04:00,,,,
2011-04-17 22:12:00-04:00,,,,
2011-04-17 22:13:00-04:00,,,,
2011-04-17 22:14:00-04:00,,,,
2011-04-17 22:15:00-04:00,,,,
2011-04-17 22:16:00-04:00,,,,
2011-04-17 22:17:00-04:00,,,,
2011-04-17 22:18:00-04:00,314.83643,,,
2011-04-17 22:19:00-04:00,,,,
2011-04-17 22:20:00-04:00,,,,
2011-04-17 22:21:00-04:00,,,,
