Timestamp,main,Refrigerator
2011-05-21 15:39:00-04:00,303.00827,0.4
2011-05-21 15:40:00-04:00,302.86606,0.0
2011-05-21 15:41:00-04:00,304.74884,0.11111111
2011-05-21 15:42:00-04:00,293.63763,0.16666667
2011-05-21 15:43:00-04:00,300.42334,0.05882353
2011-05-21 15:44:00-04:00,296.52393,0.05882353
2011-05-21 15:45:00-04:00,300.14795,0.0
2011-05-21 15:46:00-04:00,297.76727,0.1764706
2011-05-21 15:47:00-04:00,310.3794,0.0
2011-05-21 15:48:00-04:00,313.2247,0.0
2011-05-21 15:49:00-04:00,354.0597,37.17647
2011-05-21 15:50:00-04:00,320.1797,2.7058823
2011-05-21 15:51:00-04:00,321.9603,4.0555553
2011-05-21 15:52:00-04:00,322.75577,4.1764708
2011-05-21 15:53:00-04:00,320.38303,4.1764708
2011-05-21 15:54:00-04:00,321.35883,4.111111
2011-05-21 15:55:00-04:00,322.03333,3.5882354
2011-05-21 15:56:00-04:00,318.4691,4.4117646
2011-05-21 15:57:00-04:00,376.60294,63.263157
2011-05-21 15:58:00-04:00,479.47302,175.625
2011-05-21 15:59:00-04:00,463.35757,163.5
2011-05-21 16:00:00-04:00,458.01764,159.77777
2011-05-21 16:01:00-04:00,454.1691,157.05882
2011-05-21 16:02:00-04:00,452.24576,154.47058
2011-05-21 16:03:00-04:00,451.12735,153.5
2011-05-21 16:04:00-04:00,451.72183,153.88235
2011-05-21 16:05:00-04:00,448.85425,151.22223
2011-05-21 16:06:00-04:00,448.66736,150.11765
2011-05-21 16:07:00-04:00,446.79758,149.0
2011-05-21 16:08:00-04:00,439.57486,149.64706
2011-05-21 16:09:00-04:00,441.1259,147.05882
2011-05-21 16:10:00-04:00,441.2285,146.76471
2011-05-21 16:11:00-04:00,439.00577,148.33333
2011-05-21 16:12:00-04:00,438.96323,146.47058
2011-05-21 16:13:00-04:00,439.2991,146.29411
2011-05-21 16:14:00-04:00,436.96667,145.17647
2011-05-21 16:15:00-04:00,435.65704,145.16667
2011-05-21 16:16:00-04:00,436.7606,143.76471
2011-05-21 16:17:00-04:00,435.2588,144.41176
2011-05-21 16:18:00-04:00,437.01117,144.11765
2011-05-21 16:19:00-04:00,441.1506,144.52942
2011-05-21 16:20:00-04:00,441.59,140.64706
2011-05-21 16:21:00-04:00,440.29263,140.94444
2011-05-21 16:22:00-04:00,439.44635,142.83333
2011-05-21 16:23:00-04:00,440.21576,142.88235
2011-05-21 16:24:00-04:00,440.64587,142.88235
2011-05-21 16:25:00-04:00,436.3097,141.58824
2011-05-21 16:26:00-04:00,437.57697,143.27777
2011-05-21 16:27:00-04:00,436.66605,141.29411
2011-05-21 16:28:00-04:00,431.22705,141.55556
2011-05-21 16:29:00-04:00,432.63123,140.05882
2011-05-21 16:30:00-04:00,432.35736,141.61111
2011-05-21 16:31:00-04:00,431.3009,141.17647
2011-05-21 16:32:00-04:00,433.9815,140.33333
2011-05-21 16:33:00-04:00,434.59558,139.58824
2011-05-21 16:34:00-04:00,433.7903,140.11765
2011-05-21 16:35:00-04:00,319.25647,73.64706
2011-05-21 16:36:00-04:00,289.77606,0.0
2011-05-21 16:37:00-04:00,296.49786,0.055555556
2011-05-21 16:38:00-04:00,293.76028,0.0
2011-05-21 16:39:00-04:00,292.9485,0.05882353
2011-05-21 16:40:00-04:00,290.37756,0.1764706
2011-05-21 16:41:00-04:00,292.44617,0.0
2011-05-21 16:42:00-04:00,290.2494,0.0
2011-05-21 16:43:00-04:00,284.99606,0.0
2011-05-21 16:44:00-04:00,285.6056,0.11111111
2011-05-21 16:45:00-04:00,279.51514,0.29411766
2011-05-21 16:46:00-04:00,277.1391,0.11764706
2011-05-21 16:47:00-04:00,279.6847,0.0
2011-05-21 16:48:00-04:00,281.40213,0.11764706
2011-05-21 16:49:00-04:00,281.88184,0.05882353
2011-05-21 16:50:00-04:00,281.33148,0.11764706
2011-05-21 16:51:00-04:00,274.1921,0.11764706
2011-05-21 16:52:00-04:00,268.44547,0.16666667
2011-05-21 16:53:00-04:00,283.32236,0.1764706
2011-05-21 16:54:00-04:00,263.78516,0.055555556
2011-05-21 16:55:00-04:00,263.42575,0.11764706
2011-05-21 16:56:00-04:00,260.51617,0.05882353
2011-05-21 16:57:00-04:00,265.98605,0.0
2011-05-21 16:58:00-04:00,267.02728,0.0
2011-05-21 16:59:00-04:00,268.0591,0.0
2011-05-21 17:00:00-04:00,273.46878,0.0
2011-05-21 17:01:00-04:00,269.90787,0.0
2011-05-21 17:02:00-04:00,265.5447,0.055555556
2011-05-21 17:03:00-04:00,265.37546,0.0
2011-05-21 17:04:00-04:00,267.59454,2.8823528
2011-05-21 17:05:00-04:00,276.1947,4.117647
2011-05-21 17:06:00-04:00,287.903,4.0555553
2011-05-21 17:07:00-04:00,278.4288,4.0555553
2011-05-21 17:08:00-04:00,280.74088,4.0588236
2011-05-21 17:09:00-04:00,331.32486,36.52941
2011-05-21 17:10:00-04:00,456.59756,181.66667
2011-05-21 17:11:00-04:00,437.00677,165.11765
2011-05-21 17:12:00-04:00,431.10574,159.64706
2011-05-21 17:13:00-04:00,427.2888,155.94118
2011-05-21 17:14:00-04:00,425.64795,154.72223
2011-05-21 17:15:00-04:00,425.1385,151.66667
